"BehaviorSpace results (NetLogo 6.2.0)"
"ModeloBásico.nlogo"
"clientes-tiendas"
"10/03/2021 15:09:47:619 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-clientes","num-productos","num-tiendas","tam-lista","[step]","ticks"
"428","4","6","8","4","562","562"
"418","4","6","8","4","1102","1102"
"430","4","6","8","4","738","738"
"427","4","6","8","4","904","904"
"426","4","6","8","4","1813","1813"
"432","4","6","8","4","949","949"
"431","4","6","8","4","1474","1474"
"425","4","6","8","4","2923","2923"
"433","4","6","8","4","791","791"
"429","4","6","8","4","1601","1601"
"435","4","6","8","4","876","876"
"434","4","6","8","4","855","855"
"436","4","6","8","4","853","853"
"439","4","6","8","4","607","607"
"437","4","6","8","4","1057","1057"
"441","4","6","8","4","1033","1033"
"442","4","6","8","4","1552","1552"
"443","4","6","8","4","1232","1232"
"445","4","6","8","4","1162","1162"
"447","4","6","8","4","830","830"
"440","4","6","8","4","1601","1601"
"446","4","6","8","4","874","874"
"449","4","6","8","4","721","721"
"444","4","6","8","4","2148","2148"
"451","4","6","10","4","689","689"
"450","4","6","8","4","935","935"
"448","4","6","8","4","1084","1084"
"454","4","6","10","4","579","579"
"452","4","6","10","4","854","854"
"457","4","6","10","4","709","709"
"453","4","6","10","4","932","932"
"438","4","6","8","4","1884","1884"
"455","4","6","10","4","1105","1105"
"460","4","6","10","4","501","501"
"459","4","6","10","4","895","895"
"456","4","6","10","4","315","315"
"463","4","6","10","4","642","642"
"458","4","6","10","4","1198","1198"
"468","4","6","10","4","329","329"
"461","4","6","10","4","989","989"
"467","4","6","10","4","565","565"
"469","4","6","10","4","565","565"
"472","4","6","10","4","346","346"
"471","4","6","10","4","476","476"
"466","4","6","10","4","1183","1183"
"474","4","6","10","4","383","383"
"470","4","6","10","4","1015","1015"
"476","4","6","10","4","512","512"
"475","4","6","10","4","801","801"
"473","4","6","10","4","1126","1126"
"477","4","6","10","4","527","527"
"465","4","6","10","4","1660","1660"
"480","4","6","10","4","522","522"
"464","4","6","10","4","956","956"
"481","4","6","10","4","874","874"
"479","4","6","10","4","773","773"
"483","4","6","10","4","504","504"
"482","4","6","10","4","983","983"
"486","4","6","10","4","357","357"
"462","4","6","10","4","1701","1701"
"485","4","6","10","4","923","923"
"484","4","6","10","4","1079","1079"
"478","4","6","10","4","774","774"
"487","4","6","10","4","783","783"
"494","4","6","10","4","525","525"
"489","4","6","10","4","963","963"
"490","4","6","10","4","1147","1147"
"495","4","6","10","4","608","608"
"492","4","6","10","4","725","725"
"493","4","6","10","4","1033","1033"
"491","4","6","10","4","934","934"
"499","4","6","10","4","770","770"
"498","4","6","10","4","747","747"
"500","4","6","10","4","692","692"
"497","4","6","10","4","1100","1100"
"496","4","6","10","4","1378","1378"
"488","4","6","10","4","1016","1016"
"506","6","6","2","4","3187","3187"
"501","6","6","2","4","3634","3634"
"502","6","6","2","4","4354","4354"
"504","6","6","2","4","6022","6022"
"508","6","6","2","4","4533","4533"
"505","6","6","2","4","5763","5763"
"507","6","6","2","4","5731","5731"
"503","6","6","2","4","5961","5961"
"509","6","6","2","4","3025","3025"
"510","6","6","2","4","4337","4337"
"511","6","6","2","4","3626","3626"
"512","6","6","2","4","4291","4291"
"518","6","6","2","4","4918","4918"
"514","6","6","2","4","5170","5170"
"513","6","6","2","4","3941","3941"
"516","6","6","2","4","5603","5603"
"515","6","6","2","4","6748","6748"
"520","6","6","2","4","4352","4352"
"517","6","6","2","4","5809","5809"
"519","6","6","2","4","5959","5959"
"524","6","6","2","4","3104","3104"
"526","6","6","2","4","3105","3105"
"523","6","6","2","4","4609","4609"
"527","6","6","2","4","5190","5190"
"521","6","6","2","4","8459","8459"
"522","6","6","2","4","5261","5261"
"525","6","6","2","4","4762","4762"
"530","6","6","2","4","3084","3084"
"529","6","6","2","4","3207","3207"
"533","6","6","2","4","3426","3426"
"532","6","6","2","4","3734","3734"
"528","6","6","2","4","5637","5637"
"534","6","6","2","4","3917","3917"
"531","6","6","2","4","4889","4889"
"535","6","6","2","4","4684","4684"
"536","6","6","2","4","7311","7311"
"538","6","6","2","4","7574","7574"
"537","6","6","2","4","5773","5773"
"540","6","6","2","4","5178","5178"
"542","6","6","2","4","3629","3629"
"541","6","6","2","4","4459","4459"
"544","6","6","2","4","2270","2270"
"543","6","6","2","4","3824","3824"
"549","6","6","2","4","2823","2823"
