"BehaviorSpace results (NetLogo 6.2.0)"
"HelechosCon Infección.nlogo"
"experiment"
"09/02/2021 12:48:46:846 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"996","10","155","16"
"997","10","140","23"
"998","10","145","37"
"999","10","130","59"
"1000","10","122","32"
"1003","20","32","40"
"1004","20","24","44"
"1002","20","33","19"
"1001","20","35","25"
"1005","20","30","17"
"1007","20","30","11"
"1006","20","37","31"
"1008","20","33","45"
"1010","20","29","21"
"1011","20","33","78"
"1009","20","32","22"
"1013","20","30","37"
"1014","20","35","39"
"1016","20","28","37"
"1015","20","31","30"
"1017","20","29","28"
"1012","20","37","46"
"1018","20","39","51"
"1019","20","34","55"
"1021","20","27","57"
"1023","20","33","16"
"1020","20","34","67"
"1024","20","36","16"
"1022","20","35","59"
"1026","20","33","23"
"1025","20","35","51"
"1028","20","30","52"
"1027","20","36","24"
"1031","20","32","54"
"1032","20","30","65"
"1029","20","40","32"
"1033","20","29","62"
"1030","20","41","49"
"1036","20","26","19"
"1035","20","27","42"
"1038","20","27","29"
"1034","20","33","69"
"1039","20","29","33"
"1041","20","36","16"
"1037","20","32","11"
"1040","20","38","49"
"1043","20","32","94"
"1042","20","30","32"
"1044","20","35","27"
"1046","20","33","30"
"1045","20","30","21"
"1048","20","34","62"
"1047","20","35","27"
"1049","20","34","55"
"1050","20","30","43"
"1051","20","32","13"
"1052","20","33","34"
"1053","20","34","38"
"1056","20","30","56"
"1055","20","34","36"
"1058","20","35","15"
"1054","20","33","28"
"1057","20","36","18"
"1059","20","32","59"
"1060","20","34","50"
"1062","20","32","55"
"1063","20","34","33"
"1061","20","37","55"
"1065","20","29","18"
"1064","20","34","47"
"1067","20","32","44"
"1066","20","27","6"
"1068","20","31","40"
"1069","20","30","45"
"1070","20","32","47"
"1073","20","31","31"
"1072","20","30","49"
"1071","20","32","28"
"1076","20","31","17"
"1074","20","30","16"
"1075","20","32","28"
"1079","20","29","31"
"1078","20","32","32"
"1077","20","37","21"
"1082","20","26","26"
"1080","20","33","29"
"1083","20","32","5"
"1084","20","28","30"
"1081","20","48","83"
"1085","20","31","19"
"1089","20","32","29"
"1087","20","32","38"
"1086","20","38","20"
"1090","20","31","49"
"1088","20","33","9"
"1092","20","31","50"
"1093","20","28","46"
"1091","20","30","28"
"1094","20","30","67"
"1095","20","32","15"
"1096","20","28","24"
"1097","20","30","51"
"1098","20","31","28"
"1100","20","26","57"
"1099","20","36","50"
"1102","20","31","71"
"1104","20","35","50"
"1103","20","36","24"
"1105","20","33","18"
"1106","20","34","37"
"1107","20","31","21"
"1101","20","33","14"
"1108","20","38","30"
"1109","20","38","24"
"1110","20","34","50"
"1111","20","34","42"
"1112","20","31","50"
"1114","20","33","60"
"1115","20","31","19"
"1113","20","35","27"
"1117","20","29","66"
"1119","20","30","44"
"1116","20","32","60"
"1118","20","36","36"
"1120","20","32","28"
"1125","20","28","32"
"1123","20","28","36"
"1121","20","31","40"
"1124","20","31","68"
"1122","20","32","38"
"1126","20","28","12"
"1128","20","26","61"
"1127","20","33","25"
"1129","20","37","100"
"1131","20","44","72"
"1132","20","36","26"
"1130","20","43","83"
"1134","20","31","33"
"1136","20","34","60"
"1135","20","39","63"
"1133","20","33","17"
"1137","20","31","31"
"1138","20","30","70"
"1139","20","31","6"
"1141","20","25","23"
"1140","20","32","21"
"1142","20","30","24"
"1143","20","34","76"
"1144","20","35","39"
"1145","20","34","33"
"1146","20","36","44"
"1148","20","35","42"
"1147","20","34","1"
"1149","20","35","44"
"1151","20","32","49"
"1150","20","33","24"
"1154","20","29","37"
"1153","20","39","36"
"1156","20","29","39"
"1152","20","41","43"
"1155","20","28","17"
"1157","20","32","74"
"1158","20","31","51"
"1159","20","31","33"
"1160","20","36","61"
"1162","20","33","44"
"1163","20","31","61"
"1161","20","38","37"
"1166","20","30","46"
"1164","20","37","31"
"1167","20","33","32"
"1165","20","37","41"
"1168","20","33","49"
"1169","20","39","49"
"1171","20","35","51"
"1175","20","28","33"
"1170","20","29","31"
"1172","20","30","33"
"1173","20","35","40"
"1174","20","36","13"
"1176","20","27","11"
"1179","20","31","37"
"1178","20","31","8"
"1181","20","31","52"
"1177","20","36","24"
"1182","20","31","47"
"1183","20","33","25"
"1180","20","31","59"
"1184","20","28","33"
"1185","20","27","27"
"1187","20","32","29"
"1186","20","34","15"
"1189","20","30","32"
"1190","20","29","46"
"1188","20","37","38"
"1191","20","25","34"
"1193","20","29","28"
"1194","20","29","40"
"1192","20","32","61"
"1195","20","35","16"
"1196","20","28","45"
"1197","20","35","30"
"1200","20","29","20"
"1201","20","27","34"
"1198","20","33","26"
"1199","20","28","26"
"1203","20","33","75"
"1204","20","30","30"
"1205","20","36","31"
"1206","20","31","53"
"1202","20","54","83"
"1207","20","33","26"
"1208","20","27","4"
"1209","20","34","86"
"1210","20","31","64"
"1211","20","32","23"
"1212","20","27","14"
"1214","20","34","56"
"1213","20","35","37"
"1216","20","33","72"
"1218","20","29","13"
"1215","20","41","57"
"1219","20","28","12"
"1220","20","32","32"
"1217","20","36","80"
"1222","20","25","11"
"1221","20","29","17"
"1223","20","34","12"
"1225","20","31","26"
"1226","20","31","15"
"1227","20","28","35"
"1228","20","32","57"
"1224","20","37","7"
"1229","20","31","22"
"1231","20","29","44"
"1230","20","45","60"
"1232","20","33","62"
"1234","20","29","10"
"1233","20","29","48"
"1236","20","34","44"
"1237","20","31","22"
"1235","20","32","33"
"1238","20","31","62"
"1239","20","32","17"
"1241","20","31","12"
"1240","20","36","116"
"1242","20","37","26"
"1243","20","35","49"
"1244","20","34","53"
"1246","20","30","5"
"1245","20","35","93"
"1248","20","26","21"
"1247","20","36","46"
"1250","20","36","37"
"1252","20","24","15"
"1249","20","37","17"
"1251","20","38","23"
