"BehaviorSpace results (NetLogo 6.2.0)"
"Traffic Basic.nlogo"
"experiment"
"02/05/2021 10:19:37:535 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-4","4"
"[run number]","acceleration","number-of-cars","deceleration","[step]","mean [speed] of  turtles"
"235","0.0025","20","0.02","1000","0.18263292292041372"
"238","0.0025","20","0.02","1000","0.18302623558703365"
"239","0.0025","20","0.02","1000","0.1801940708533066"
"240","0.0025","20","0.02","1000","0.171021237265656"
"241","0.0025","20","0.02","1000","0.18024999252636412"
"243","0.0025","20","0.02","1000","0.18047900392216945"
"242","0.0025","20","0.02","1000","0.18435563905247704"
"244","0.0025","20","0.02","1000","0.18387935813315692"
"245","0.0025","20","0.02","1000","0.18430262669696468"
"247","0.0025","20","0.02","1000","0.1773089342162708"
"246","0.0025","20","0.02","1000","0.17362648731666278"
"249","0.0025","20","0.02","1000","0.17992521700178993"
"248","0.0025","20","0.02","1000","0.1723685028803875"
"250","0.0025","20","0.02","1000","0.17741904923150192"
"251","0.0025","20","0.02","1000","0.18557658970717628"
"252","0.0025","20","0.02","1000","0.16881610887378634"
"253","0.0025","20","0.02","1000","0.18306157347767188"
"254","0.0025","20","0.02","1000","0.16764510371331406"
"256","0.0025","20","0.02","1000","0.18030981672176163"
"257","0.0025","20","0.02","1000","0.17307354719347767"
"255","0.0025","20","0.02","1000","0.1818617273198883"
"258","0.0025","20","0.02","1000","0.17949239442919843"
"259","0.0025","20","0.02","1000","0.17354117059219648"
"260","0.0025","20","0.02","1000","0.17129234580620836"
"261","0.0025","20","0.02","1000","0.18288916632552848"
"262","0.0025","20","0.02","1000","0.17781619671191456"
"263","0.0025","20","0.02","1000","0.17317249405845095"
"264","0.0025","20","0.02","1000","0.18495998372179698"
"265","0.0025","20","0.02","1000","0.1654928343844945"
"266","0.0025","20","0.02","1000","0.18366571034968038"
"267","0.0025","20","0.02","1000","0.17149114617615518"
"268","0.0025","20","0.02","1000","0.18092223047909767"
"269","0.0025","20","0.02","1000","0.17619798916646062"
"270","0.0025","20","0.02","1000","0.17749752888153497"
"271","0.0025","20","0.02","1000","0.18021157972966123"
"272","0.0025","20","0.02","1000","0.18305065776354698"
"274","0.0025","20","0.02","1000","0.1745003087765441"
"273","0.0025","20","0.02","1000","0.18142205538954895"
"275","0.0025","20","0.02","1000","0.17263287525978227"
"277","0.0025","20","0.02","1000","0.17494109112994194"
"278","0.0025","20","0.02","1000","0.18760078003662517"
"279","0.0025","20","0.02","1000","0.1867391357136159"
"276","0.0025","20","0.02","1000","0.16916124731733728"
"280","0.0025","20","0.02","1000","0.16833085939573933"
"281","0.0025","20","0.02","1000","0.16834883558770397"
"282","0.0025","20","0.02","1000","0.18110403838207173"
"283","0.0025","20","0.02","1000","0.1791978789791347"
"284","0.0025","20","0.02","1000","0.18617982126498417"
"285","0.0025","20","0.02","1000","0.17625936969853376"
"287","0.0025","20","0.02","1000","0.18229692731100233"
"286","0.0025","20","0.02","1000","0.17575000000000135"
"288","0.0025","20","0.02","1000","0.1725877469674235"
"289","0.0025","20","0.02","1000","0.17794879586929224"
"290","0.0025","20","0.02","1000","0.1742823849521725"
"291","0.0025","20","0.02","1000","0.16769840312862339"
"292","0.0025","20","0.02","1000","0.19084187719081264"
"293","0.0025","20","0.02","1000","0.17990829913365558"
"295","0.0025","20","0.02","1000","0.1774662472450111"
"294","0.0025","20","0.02","1000","0.17471949858087268"
"296","0.0025","20","0.02","1000","0.1699960228320458"
"297","0.0025","20","0.02","1000","0.18820580790451583"
"299","0.0025","20","0.02","1000","0.17041134450556697"
"301","0.0025","20","0.023","1000","0.15477897406295602"
"298","0.0025","20","0.02","1000","0.16979950167020536"
"300","0.0025","20","0.02","1000","0.1796016581223463"
"303","0.0025","20","0.023","1000","0.16331702651319943"
"302","0.0025","20","0.023","1000","0.1530650962827281"
"304","0.0025","20","0.023","1000","0.15202557764847624"
"305","0.0025","20","0.023","1000","0.1474241333762642"
"306","0.0025","20","0.023","1000","0.1480813151396711"
"307","0.0025","20","0.023","1000","0.15794451580786487"
"308","0.0025","20","0.023","1000","0.1489140545606946"
"309","0.0025","20","0.023","1000","0.15910089105091424"
"311","0.0025","20","0.023","1000","0.1552341078991806"
"310","0.0025","20","0.023","1000","0.1532420237797241"
"312","0.0025","20","0.023","1000","0.16532276956801534"
"313","0.0025","20","0.023","1000","0.15987418309829346"
"314","0.0025","20","0.023","1000","0.16814489223126897"
"315","0.0025","20","0.023","1000","0.15218183759525258"
"316","0.0025","20","0.023","1000","0.1631919077203576"
"317","0.0025","20","0.023","1000","0.15320099118262795"
"319","0.0025","20","0.023","1000","0.15901142394995652"
"318","0.0025","20","0.023","1000","0.15257117094587025"
"320","0.0025","20","0.023","1000","0.14680576255964334"
"321","0.0025","20","0.023","1000","0.16454946070851165"
"322","0.0025","20","0.023","1000","0.15541931370406242"
"323","0.0025","20","0.023","1000","0.15087500000000145"
"325","0.0025","20","0.023","1000","0.1615472579241634"
"326","0.0025","20","0.023","1000","0.1547353686282939"
"324","0.0025","20","0.023","1000","0.14299602335567013"
"327","0.0025","20","0.023","1000","0.1603534916737709"
"328","0.0025","20","0.023","1000","0.15592604401897184"
"329","0.0025","20","0.023","1000","0.15618565946973856"
"330","0.0025","20","0.023","1000","0.1477500000000013"
"331","0.0025","20","0.023","1000","0.15145716589024166"
"332","0.0025","20","0.023","1000","0.1563157130234482"
"333","0.0025","20","0.023","1000","0.1626450728605316"
"334","0.0025","20","0.023","1000","0.1589896069652146"
"335","0.0025","20","0.023","1000","0.14741365400202866"
"336","0.0025","20","0.023","1000","0.15932283958629553"
"337","0.0025","20","0.023","1000","0.16041779689229396"
"338","0.0025","20","0.023","1000","0.15564035471309595"
"339","0.0025","20","0.023","1000","0.15733955766210045"
"340","0.0025","20","0.023","1000","0.14976249861779972"
"341","0.0025","20","0.023","1000","0.15381252166725867"
"343","0.0025","20","0.023","1000","0.16570460842437587"
"342","0.0025","20","0.023","1000","0.16004495617896858"
"344","0.0025","20","0.023","1000","0.15069384420402704"
"345","0.0025","20","0.023","1000","0.16238795771505432"
"346","0.0025","20","0.023","1000","0.1495702954095104"
"347","0.0025","20","0.023","1000","0.1569929710525273"
"348","0.0025","20","0.023","1000","0.15256649754098506"
"349","0.0025","20","0.023","1000","0.16117500000000137"
"350","0.0025","20","0.023","1000","0.16007366385306288"
"351","0.0025","20","0.023","1000","0.1643995107836675"
"352","0.0025","20","0.023","1000","0.15991751044767466"
"353","0.0025","20","0.023","1000","0.15557286358825886"
"354","0.0025","20","0.023","1000","0.15105250155527863"
"356","0.0025","20","0.023","1000","0.16209624893266456"
"355","0.0025","20","0.023","1000","0.15774195121916387"
"357","0.0025","20","0.023","1000","0.1575053452196742"
"358","0.0025","20","0.023","1000","0.16492257510234534"
"360","0.0025","20","0.023","1000","0.15420273324161163"
"359","0.0025","20","0.023","1000","0.1626810602810916"
"361","0.0025","20","0.023","1000","0.15917985891093733"
"362","0.0025","20","0.023","1000","0.15637500000000143"
"364","0.0025","20","0.023","1000","0.15276205265437806"
"363","0.0025","20","0.023","1000","0.15151434500762623"
"365","0.0025","20","0.023","1000","0.1532750315806184"
"366","0.0025","20","0.023","1000","0.1459749853680506"
"367","0.0025","20","0.023","1000","0.1610721023034976"
"368","0.0025","20","0.023","1000","0.1546550926825265"
"369","0.0025","20","0.023","1000","0.16597833813832674"
"372","0.0025","20","0.023","1000","0.15042509274629587"
"373","0.0025","20","0.023","1000","0.15613291954542718"
"371","0.0025","20","0.023","1000","0.16141914718032804"
"370","0.0025","20","0.023","1000","0.15014235270118856"
"374","0.0025","20","0.023","1000","0.15020857757110034"
"376","0.0025","20","0.023","1000","0.1531268341986282"
"375","0.0025","20","0.023","1000","0.15062841635862204"
"377","0.0025","20","0.023","1000","0.1514068300200479"
"378","0.0025","20","0.023","1000","0.16408761335462047"
"379","0.0025","20","0.023","1000","0.14481679766665864"
"380","0.0025","20","0.023","1000","0.14844698563936257"
"381","0.0025","20","0.023","1000","0.1486519789066384"
"382","0.0025","20","0.023","1000","0.15181803726660437"
"384","0.0025","20","0.023","1000","0.15836472417711783"
"383","0.0025","20","0.023","1000","0.16520835258240005"
"385","0.0025","20","0.023","1000","0.16357578748472945"
"387","0.0025","20","0.023","1000","0.15021558994686687"
"386","0.0025","20","0.023","1000","0.16178307574970602"
"388","0.0025","20","0.023","1000","0.1590436951265039"
"389","0.0025","20","0.023","1000","0.16564858181432568"
"390","0.0025","20","0.023","1000","0.15723861321962632"
"391","0.0025","20","0.023","1000","0.14971884207590686"
"393","0.0025","20","0.023","1000","0.1553922162432487"
"392","0.0025","20","0.023","1000","0.14745374498948827"
"394","0.0025","20","0.023","1000","0.15362347435669943"
"395","0.0025","20","0.023","1000","0.1609361057539668"
"397","0.0025","20","0.023","1000","0.15809690802045814"
"396","0.0025","20","0.023","1000","0.1542257212434168"
"398","0.0025","20","0.023","1000","0.15070121514924828"
"399","0.0025","20","0.023","1000","0.15796899196711162"
"400","0.0025","20","0.023","1000","0.1546294035961846"
"401","0.0025","20","0.026","1000","0.14850000000000158"
"402","0.0025","20","0.026","1000","0.13389362164993987"
"403","0.0025","20","0.026","1000","0.14372524113680415"
"404","0.0025","20","0.026","1000","0.1375108367371583"
"405","0.0025","20","0.026","1000","0.14464867357366415"
"406","0.0025","20","0.026","1000","0.1456683310562662"
"407","0.0025","20","0.026","1000","0.14799405401464222"
"408","0.0025","20","0.026","1000","0.13421859550966284"
"409","0.0025","20","0.026","1000","0.14221669936191858"
"410","0.0025","20","0.026","1000","0.1471381729948491"
"411","0.0025","20","0.026","1000","0.14476638209153997"
"412","0.0025","20","0.026","1000","0.14393047497825323"
"413","0.0025","20","0.026","1000","0.14287807953272968"
"414","0.0025","20","0.026","1000","0.14586910935495248"
"416","0.0025","20","0.026","1000","0.1381778337942532"
"415","0.0025","20","0.026","1000","0.13435502007822125"
"417","0.0025","20","0.026","1000","0.13875482485021334"
"418","0.0025","20","0.026","1000","0.13847500000000146"
"419","0.0025","20","0.026","1000","0.13942568760877394"
"420","0.0025","20","0.026","1000","0.13807912941070472"
"421","0.0025","20","0.026","1000","0.1444216242815521"
"422","0.0025","20","0.026","1000","0.14653232332798977"
"424","0.0025","20","0.026","1000","0.13057500000000136"
"423","0.0025","20","0.026","1000","0.14182888134860755"
"425","0.0025","20","0.026","1000","0.13905754959563324"
"426","0.0025","20","0.026","1000","0.13137296112416535"
"427","0.0025","20","0.026","1000","0.1388386087827738"
"428","0.0025","20","0.026","1000","0.13182032884327582"
"429","0.0025","20","0.026","1000","0.14139213238490092"
"430","0.0025","20","0.026","1000","0.1320850267799017"
"431","0.0025","20","0.026","1000","0.14869163844481084"
"432","0.0025","20","0.026","1000","0.14704450492817597"
"433","0.0025","20","0.026","1000","0.14355429806310696"
"434","0.0025","20","0.026","1000","0.1396438855961985"
"435","0.0025","20","0.026","1000","0.13135688897519132"
"437","0.0025","20","0.026","1000","0.129953626814056"
"436","0.0025","20","0.026","1000","0.1407139856780608"
"438","0.0025","20","0.026","1000","0.14704080025831212"
"439","0.0025","20","0.026","1000","0.14679487607941596"
"440","0.0025","20","0.026","1000","0.14732645104345224"
"441","0.0025","20","0.026","1000","0.14758721074844472"
"442","0.0025","20","0.026","1000","0.1425284872715084"
"443","0.0025","20","0.026","1000","0.14139596292162135"
"444","0.0025","20","0.026","1000","0.1407676452026718"
"446","0.0025","20","0.026","1000","0.13504215245625817"
"447","0.0025","20","0.026","1000","0.1425662174932847"
"448","0.0025","20","0.026","1000","0.14673087188399253"
"449","0.0025","20","0.026","1000","0.14421774796223022"
"445","0.0025","20","0.026","1000","0.13121621195233463"
"450","0.0025","20","0.026","1000","0.1349238571600905"
"451","0.0025","20","0.026","1000","0.15075426912497175"
"452","0.0025","20","0.026","1000","0.14283460643569215"
"453","0.0025","20","0.026","1000","0.1416987137602073"
"454","0.0025","20","0.026","1000","0.14765000000000145"
"455","0.0025","20","0.026","1000","0.1439691348149502"
"456","0.0025","20","0.026","1000","0.1309460275832607"
"458","0.0025","20","0.026","1000","0.14902294958836182"
"457","0.0025","20","0.026","1000","0.13460218065551213"
"459","0.0025","20","0.026","1000","0.1479013611146097"
"460","0.0025","20","0.026","1000","0.1446428873641494"
"461","0.0025","20","0.026","1000","0.13794129902652283"
"462","0.0025","20","0.026","1000","0.13825144652569182"
"463","0.0025","20","0.026","1000","0.13839213581010243"
"464","0.0025","20","0.026","1000","0.14611212524370504"
"465","0.0025","20","0.026","1000","0.141287692036086"
"466","0.0025","20","0.026","1000","0.13659005069555552"
"467","0.0025","20","0.026","1000","0.142948004543967"
"468","0.0025","20","0.026","1000","0.13027793144282124"
"469","0.0025","20","0.026","1000","0.14895137217804713"
"470","0.0025","20","0.026","1000","0.14144036492022272"
"471","0.0025","20","0.026","1000","0.13634437115448805"
"473","0.0025","20","0.026","1000","0.1478029487876396"
"474","0.0025","20","0.026","1000","0.13685803523719084"
"475","0.0025","20","0.026","1000","0.14310204815458158"
"472","0.0025","20","0.026","1000","0.1319500768249099"
"476","0.0025","20","0.026","1000","0.14906621770453993"
"477","0.0025","20","0.026","1000","0.14311799388620197"
"478","0.0025","20","0.026","1000","0.12935181601422172"
"479","0.0025","20","0.026","1000","0.13285000000000138"
"480","0.0025","20","0.026","1000","0.13356945665970327"
"482","0.0025","20","0.026","1000","0.13041314361553738"
"481","0.0025","20","0.026","1000","0.1315548649262031"
"483","0.0025","20","0.026","1000","0.1393250000000013"
"484","0.0025","20","0.026","1000","0.1349335270467375"
"485","0.0025","20","0.026","1000","0.15087290622444"
"486","0.0025","20","0.026","1000","0.13357833741026964"
"487","0.0025","20","0.026","1000","0.13661213726387983"
"488","0.0025","20","0.026","1000","0.1429006471991772"
"489","0.0025","20","0.026","1000","0.1382813923464491"
"490","0.0025","20","0.026","1000","0.13343725008123433"
"492","0.0025","20","0.026","1000","0.1325916011913312"
"491","0.0025","20","0.026","1000","0.12965397499024722"
"493","0.0025","20","0.026","1000","0.13551379406999062"
"494","0.0025","20","0.026","1000","0.1476962407405834"
"495","0.0025","20","0.026","1000","0.13715000000000135"
"496","0.0025","20","0.026","1000","0.1315819371747277"
"497","0.0025","20","0.026","1000","0.1412565001458689"
"498","0.0025","20","0.026","1000","0.1345500000000014"
"499","0.0025","20","0.026","1000","0.14780549694687076"
